ID,RA[hr],Dec[deg],dist[pc],rhm[pc],mass[Msun],age[Myr],[Fe/H],sigma_v0_z[km/s],OpSimID,OpSimRA[deg],OpSimDec[deg]
NGC 104,00 24 05.67,-72 04 52.6,4500.0,4.149521472725441,1059326.8877833162,12343.749999999998,-0.72,11.0,114.0,5.606889,-73.293784
NGC 288,00 52 45.24,-26 34 57.4,8900.0,5.77325908715873,90579.51598072427,9757.440476190475,-1.32,2.9,1524.0,14.033108,-25.294617
NGC 362,01 03 14.26,-70 50 55.6,8600.0,2.0513436864149246,425627.80919654266,9522.32142857143,-1.26,6.4,162.0,19.21674,-70.227766
Whiting 1,02 02 57,-03 15 10,30100.0,1.9262617204140202,1741.9271799121614,11081.82198660714,-0.7,0.8644697321729168,2508.0,29.637645,-2.836499
NGC 1261,03 12 16.21,-55 12 58.4,16300.0,3.224204946901386,238248.40160547532,9287.202380952382,-1.27,7.814408655465965,492.0,50.475658,-54.543202
Pal 1,03 33 20.04,+79 34 51.8,11100.0,1.4852752023116609,1840.8991435063447,6465.773809523809,-0.65,1.012054671421451,5250.0,55.141667,80.199608
AM 1,03 55 02.3,-49 36 55,123300.0,14.705271682400529,14093.861379342963,11081.82198660714,-1.7,0.8899608715553466,621.0,57.903841,-50.212216
Eridanus,04 24 44.5,-21 11 13,90100.0,12.056152768313572,20371.827761082342,11081.82198660714,-1.43,1.1816886596125882,1714.0,67.408736,-20.535329
Pal 2,04 46 05.91,+31 22 53.4,27200.0,3.9560796657494337,278631.3605890607,11081.82198660714,-1.42,7.6291284070860295,4053.0,72.00001,31.829949
NGC 1851,05 14 06.76,-40 02 47.6,12100.0,1.7950711488451738,388177.1755185559,8816.964285714284,-1.18,10.4,949.0,79.406498,-39.869134
NGC 1904,05 24 11.09,-24 31 29.0,12900.0,2.4390976587281834,251785.08235883372,11081.82198660714,-1.6,5.3,1619.0,81.252868,-22.994067
NGC 2298,06 48 59.41,-36 00 19.1,10800.0,3.078760883916661,60399.034408040265,11638.392857142855,-1.92,4.026423562571902,1064.0,100.984094,-36.910032
NGC 2419,07 38 08.47,+38 52 56.8,82600.0,21.384356249608988,1059326.8877833162,11081.82198660714,-2.15,4.0,4347.0,115.406508,39.869167
Ko 2,07 58 17.0,+26 15 18,34700.0,2.119702379183714,249.47670284858864,11081.82198660714,-1.2671710526315787,0.3118674112674284,3778.0,118.950719,25.626702
Pyxis,09 07 57.8,-37 13 17,39400.0,14.230485262782327,35402.17916634844,11081.82198660714,-1.2,1.4338297396338209,1040.0,138.681498,-37.185726
NGC 2808,09 12 03.10,-64 51 48.6,9600.0,2.2340214828799634,1030457.2891635144,9992.559523809523,-1.14,13.4,232.0,136.174141,-65.928099
E 3,09 20 57.07,-77 16 54.8,8100.0,4.9480090448642535,8035.8162169788175,11991.071428571428,-0.83,1.158489752434821,57.0,136.185507,-78.066794
Pal 3,10 05 31.9,+00 04 18,92500.0,17.489653754446277,34121.647780062565,11081.82198660714,-1.63,1.2697459406554106,2676.0,151.892157,0.449605
NGC 3201,10 17 36.82,-46 24 44.9,4900.0,4.418593087305698,172595.70955339403,9522.32142857143,-1.59,5.0,690.0,154.995396,-47.81925
Pal 4,11 29 16.80,+28 58 24.9,108700.0,16.125969742104992,45817.353055355496,11081.82198660714,-1.41,1.5323025300617175,3915.0,173.57301,28.759815
Ko 1,11 59 18.5,+12 15 36,48300.0,3.6529741313891817,626.6571448631178,11081.82198660714,-1.2671710526315787,0.37651661065254294,3232.0,180.0,12.562006
NGC 4147,12 10 06.30,+18 32 33.5,19300.0,2.6947883825913403,53092.11123951084,10462.797619047618,-1.8,2.6,3468.0,183.047753,17.86692
NGC 4372,12 25 45.40,-72 39 32.4,5800.0,6.596765640684436,236064.12713034602,11081.82198660714,-2.17,5.438033908054714,133.0,189.188776,-72.099671
Rup 106,12 38 40.2,-51 09 01,21200.0,6.475171726253245,62665.71448631178,11081.82198660714,-1.68,2.8280155531118005,582.0,188.863978,-50.859911
NGC 4590,12 39 27.98,-26 44 38.6,10300.0,4.524184600332547,160335.61267753612,10697.916666666666,-2.23,2.5,1461.0,190.946963,-26.341533
NGC 4833,12 59 33.92,-70 52 35.4,6600.0,4.626868605007367,334988.5752052876,11520.833333333332,-1.85,7.735063008210542,157.0,196.783182,-70.227801
NGC 5024,13 12 55.25,+18 10 05.4,17900.0,6.821037935162189,550845.7406676349,11638.392857142855,-2.1,4.4,3393.0,198.290635,16.550246
NGC 5053,13 16 27.09,+17 42 00.9,17400.0,13.210399646557516,91417.63792297505,11285.714285714284,-2.27,1.4,3393.0,198.290635,16.550246
NGC 5139,13 26 47.24,-47 28 46.5,5200.0,7.563098758299395,2296307.2429937683,10462.797619047618,-1.53,16.8,699.0,200.659316,-47.424471
NGC 5272,13 42 11.62,+28 22 38.2,10200.0,6.853909004138865,644213.7582566882,10462.797619047618,-1.5,5.5,3956.0,204.217234,29.407578
NGC 5286,13 46 26.81,-51 22 27.3,11700.0,2.484476227557129,566278.3991598769,11520.833333333332,-1.69,8.1,602.0,206.566262,-50.583435
AM 4,13 56 21.7,-27 10 03,32200.000000000004,4.0276381581903715,957.2601846452769,11081.82198660714,-1.3,0.44318210463313384,1495.0,208.156856,-25.881025
NGC 5466,14 05 27.29,+28 32 04.0,16000.0,10.704687676103568,111951.52029902207,12578.869047619048,-1.98,1.7,3882.0,210.323501,28.079016
NGC 5634,14 29 37.23,-05 58 35.1,25200.0,6.30412938971177,215293.04272596745,11081.82198660714,-1.88,5.31245029662678,2421.0,217.560112,-4.809383
NGC 5694,14 39 36.29,-26 32 20.2,35000.0,4.072434939698393,244923.2398530103,11081.82198660714,-1.98,5.8,1477.0,220.714971,-26.053486
IC 4499,15 00 18.45,-82 12 49.3,18800.0,9.35147490345008,153119.3213822514,11081.82198660714,-1.53,2.5,23.0,228.855395,-82.798725
NGC 5824,15 03 58.63,-33 04 05.6,32100.0,4.201880198175709,626657.1448631177,11081.82198660714,-1.91,11.6,1162.0,226.208476,-34.120161
Pal 5,15 16 05.25,-00 06 41.8,23200.0,18.42369945692404,21136.350184273168,11081.82198660714,-1.41,1.1,2687.0,230.14577,0.931384
NGC 5897,15 17 24.50,-21 00 37.0,12500.0,7.490372269680603,140938.61379342966,11081.82198660714,-1.9,3.943262944755145,1761.0,229.726425,-19.793433
