ID,RA[hr],Dec[deg],dist[pc],rhm[pc],mass[Msun],age[Myr],[Fe/H],sigma_v0_z[km/s],OpSimID,OpSimRA[deg],OpSimDec[deg]
[KPS2012]_MWSC_4688,23 51 54.000,-86 43 12.000,1336.0,3.207156305224554,28.5,2454.708915685034,-0.4974174718196457,0.08569486677316929,9.0,0.0,-85.272892
[KPS2012]_MWSC_5684,12 53 43.000,-86 38 54.000,1432.0,3.207156305224554,26.0,1513.561248436207,-0.4974174718196457,0.08185006938728628,2.0,180.0,-87.568555
[KPS2012]_MWSC_5692,17 47 20.000,-86 36 36.000,1555.0,3.207156305224554,14.0,851.1380382023759,-0.4974174718196457,0.060061530636330365,5.0,252.001105,-87.568547
[KPS2012]_MWSC_4005,00 11 28.000,-85 28 48.000,1159.0,3.207156305224554,21.0,2371.3737056616555,-0.4974174718196457,0.07356005161477441,9.0,0.0,-85.272892
[KPS2012]_MWSC_4176,14 27 18.000,-85 25 12.000,1093.0,3.207156305224554,77.5,2065.380155810527,-0.4974174718196457,0.14131336210563109,7.0,215.999822,-85.272913
ESO_8-6,14 56 55.000,-83 26 42.000,1380.0,1.2178437548678025,39.0,1995.2623149688827,-0.4974174718196457,0.16267805000268493,23.0,228.855395,-82.798725
[KPS2012]_MWSC_4219,15 42 14.000,-83 11 42.000,1606.0,3.207156305224554,47.5,1258.9254117941662,-0.4974174718196457,0.11063159728931597,23.0,228.855395,-82.798725
[KPS2012]_MWSC_5575,01 59 42.000,-83 03 00.000,2191.0,3.207156305224554,10.0,1584.8931924611109,-0.4974174718196457,0.050761258162801755,29.0,35.999981,-81.973212
[KPS2012]_MWSC_4682,23 43 23.000,-82 57 36.000,1065.0,3.207156305224554,29.0,1905.4607179632446,-0.4974174718196457,0.08644330776748865,21.0,347.144336,-82.798732
[KPS2012]_MWSC_5685,13 05 24.000,-82 02 36.000,1581.0,3.207156305224554,32.0,1412.5375446227554,-0.4974174718196457,0.09080449910035264,17.0,203.144516,-82.798742
[KPS2012]_MWSC_5681,10 41 47.000,-82 00 18.000,1700.0,3.207156305224554,20.5,954.9925860214372,-0.4974174718196457,0.07267906113217718,18.0,156.855484,-82.798742
[KPS2012]_MWSC_2014,12 20 06.000,-81 30 36.000,2671.0,9.521323901693727,54.5,3981.0717055349687,-0.4974174718196457,0.06877680904651322,27.0,180.0,-81.973217
[KPS2012]_MWSC_2064,12 45 43.000,-81 15 30.000,1456.0,0.9595132614109958,50.0,3162.2776601683795,-0.4974174718196457,0.20751617441753084,39.0,196.858418,-80.199616
[KPS2012]_MWSC_2049,12 34 55.000,-80 57 00.000,3597.0,2.9892528528573328,39.0,5011.872336272714,-0.4974174718196457,0.10383491660634107,39.0,196.858418,-80.199616
[KPS2012]_MWSC_5688,15 25 59.000,-80 07 48.000,1236.0,3.207156305224554,12.5,977.2372209558113,-0.4974174718196457,0.0567528119377204,43.0,235.141668,-80.199608
ESO_26-2,20 26 38.000,-80 00 00.000,2473.0,2.6571136469842958,22.0,5011.872336272714,-0.4974174718196457,0.08271775073652472,45.0,307.141808,-80.199595
[KPS2012]_MWSC_4137,09 26 11.000,-79 44 24.000,1209.0,3.207156305224554,41.5,1621.810097358933,-0.4974174718196457,0.10340854471765389,33.0,143.999827,-80.51551
Cl_Melotte_227,20 16 48.000,-79 02 24.000,1169.0,9.439367222791567,39.875,3344.104890848476,-0.4974174718196457,0.05908419845456441,45.0,307.141808,-80.199595
[KPS2012]_MWSC_5679,09 33 00.000,-78 58 12.000,1122.0,3.207156305224554,25.5,316.227766016838,-0.4974174718196457,0.08105922891435649,33.0,143.999827,-80.51551
[KPS2012]_MWSC_5572,01 54 18.000,-78 57 54.000,1472.0,3.207156305224554,7.0,1995.2623149688827,-0.4974174718196457,0.04246991560139278,51.0,35.999853,-79.219603
[KPS2012]_MWSC_5749,20 32 10.000,-78 36 54.000,1890.0,3.207156305224554,23.5,2213.0947096056407,-0.4974174718196457,0.07781553524930562,64.0,310.793258,-77.535368
ESO_21-6,14 15 52.000,-78 30 54.000,2473.0,4.317809676349482,44.5,3162.2776601683795,-0.4974174718196457,0.09228703623171146,60.0,208.185543,-78.066782
[KPS2012]_MWSC_5672,07 15 20.000,-78 26 24.000,1288.0,3.207156305224554,16.5,3090.2954325135925,-0.4974174718196457,0.06520401670868523,49.0,108.00001,-79.219634
[KPS2012]_MWSC_4114,06 07 52.000,-78 13 12.000,962.0,3.207156305224554,30.0,2511.886431509582,-0.4974174718196457,0.08792107819409305,63.0,94.793138,-77.535369
[KPS2012]_MWSC_5680,09 43 48.000,-78 12 18.000,1050.0,3.207156305224554,29.5,1995.2623149688827,-0.4974174718196457,0.08718532401900156,61.0,151.814457,-78.066782
[KPS2012]_MWSC_1955,11 33 00.000,-77 49 30.000,1561.0,1.7714090979895307,34.5,3672.823004980842,-0.4974174718196457,0.12686521307484785,69.0,166.793103,-77.535325
[KPS2012]_MWSC_5698,18 41 49.000,-77 43 24.000,2069.0,3.207156305224554,24.5,776.2471166286928,-0.4974174718196457,0.07945393671280856,54.0,280.185931,-78.06681
[KPS2012]_MWSC_2358,16 10 29.000,-77 39 36.000,5666.0,16.736125540380257,26.5,1584.8931924611109,-0.4974174718196457,0.036173282130941384,66.0,238.793271,-77.535366
[KPS2012]_MWSC_4140,09 36 36.000,-77 28 48.000,2465.0,3.207156305224554,56.0,1905.4607179632446,-0.4974174718196457,0.12012306127266073,61.0,151.814457,-78.066782
[KPS2012]_MWSC_2089,13 11 55.000,-77 27 00.000,6213.0,7.897532228536661,39.0,1584.8931924611109,-0.4974174718196457,0.06388207895328682,68.0,193.206897,-77.535325
[KPS2012]_MWSC_1638,09 13 41.000,-77 25 30.000,1000.0,2.435687509735605,32.5,3162.2776601683795,-0.4974174718196457,0.10500822974231604,57.0,136.185507,-78.066794
Chamaleon_I,11 03 36.000,-77 20 24.000,380.0,2.288070084903144,37.5,1.0,-0.4974174718196457,0.11637867637901117,69.0,166.793103,-77.535325
[KPS2012]_MWSC_4668,22 56 56.000,-77 10 12.000,775.0,3.207156305224554,11.0,1258.9254117941662,-0.4974174718196457,0.05323885670539581,70.0,337.206791,-77.535303
[KPS2012]_MWSC_2083,13 09 16.000,-77 08 06.000,7943.0,17.326595239710098,40.0,1995.2623149688827,-0.4974174718196457,0.043678309539217856,68.0,193.206897,-77.535325
NGC_1520,03 57 52.000,-76 48 00.000,1023.0,1.3470090015962055,5.0,2691.5348039269143,-0.4974174718196457,0.055385004368970314,91.0,59.037776,-75.516181
[KPS2012]_MWSC_1673,09 28 46.000,-76 05 06.000,1561.0,1.144035042451572,40.5,3981.0717055349687,-0.4974174718196457,0.17104102444144245,78.0,144.00001,-75.741972
[KPS2012]_MWSC_1940,11 23 06.000,-75 00 54.000,3575.0,1.716052563677358,29.0,5011.872336272714,-0.4974174718196457,0.11817514582177502,93.0,169.159969,-74.831653
[KPS2012]_MWSC_5676,08 41 55.000,-74 45 54.000,1604.0,3.207156305224554,29.0,1412.5375446227554,-0.4974174718196457,0.08644330776748865,87.0,131.037851,-75.516205
ESO_43-13,17 04 44.000,-74 21 00.000,1490.0,1.1255828643475143,36.5,2065.380155810527,-0.4974174718196457,0.16370054938469522,103.0,252.000127,-73.693852
