,Name,RA,Dec,dist[kpc],rh[pc],r_c,mass[Msun],Age,Z,sigma_v[km/s],sigma_source,OpSim ID,OpSim RA,OpSim Dec,Source Flag,Cluster Type,dist flag,Age flag,Z flag
0,Alessi_4,154.05416666666665,-34.35,2.1901320080719118,,,,9030.651059871963,0.0,1.6650025196555118,m*rh*,1158.0,154.208419799805,-34.1202,W,O,d,A,Z
1,Alessi_11,305.35,18.360000000000003,2.4182151389823856,,,,8340.0,0.11857567765474326,1.7338762528269807,m*rh*,3503.0,304.174591064453,18.9882,W,O,d,A,Z
2,Alessi_14,97.6125,9.74111111111111,2.254540154636665,,,,7949.616767082973,-0.6126409102391402,1.5877943362943618,m*rh*,3076.0,97.23486328125,9.49079,W,O,d,A,Z
3,Alessi_15,100.76666666666667,1.6719444444444442,0.6,,,,6856.72251297964,0.01,0.37202958003610104,m*rh*,2744.0,101.72256469726601,2.14101,W,O,d,A,Z
4,Alessi_16,100.89583333333331,2.1733333333333333,0.9315551106185651,,,,7975.56273311537,0.04549681476690887,0.09683036493076025,m*rh*,2744.0,101.72256469726601,2.14101,W,O,d,A,Z
5,Alessi_17,113.84999999999998,-15.091666666666667,1.7,,,,8144.762542538713,-0.393927059404322,0.060790732243504404,m*rh*,1958.0,112.96591186523399,-14.9928,W,O,d,A,Z
6,AM_0430-392,68.1,-39.29333333333333,1.8,,,,9000.0,-0.14899697755893476,0.24322520889541388,m*rh*,933.0,68.2908782958984,-40.0062,W,O,d,A,Z
7,AM_1353-265,209.08749999999998,-27.166666666666668,1.0305042359351198,,,,7662.619403834182,-0.3,0.2872828422937356,m*rh*,1495.0,208.15686035156202,-25.881,W,O,d,A,Z
8,Andrews-Lindsay5,281.07916666666665,-4.930000000000001,0.65,,,,10.660249327645525,-0.4213705737558342,0.8294208147150061,m*rh*,2445.0,280.209808349609,-4.5769,W,O,d,A,Z
9,Antalova_2,262.425,-32.53333333333333,2.04,,,,8704.247498548175,-0.32,0.0806727748939439,m*rh*,1233.0,261.46429443359403,-31.8504,W,O,d,A,Z
10,Archinal_1,283.7041666666666,5.548333333333333,0.20055538039143894,,,,7250.005489306788,-0.6744258677742375,0.1604117720053149,m*rh*,2891.0,283.18853759765597,5.2086,W,O,d,A,Z
11,Barkhatova_1,313.42499999999995,46.03333333333333,5.0,,,,8700.0,-0.3,0.26452802570570466,m*rh*,4507.0,311.635009765625,45.0191,W,O,d,A,Z
12,Barkhatova_2,326.075,51.21666666666667,1.6775628671200316,,,,7160.0,0.0,0.12239604606774894,m*rh*,4715.0,324.000030517578,50.8729,W,O,d,A,Z
13,Basel_17,167.64166666666662,-59.03333333333333,1.697,1.3230000000000002,,116.14486138403426,94.40608762859226,0.21016575839227172,0.27005415546458883,rh,376.0,169.06591796875,-59.2422,W,O,d,A,Z
14,Berkeley_24,99.425,-0.9166666666666666,1.760193218727443,,,,8735.248080261192,-0.44955798320462864,0.13494271102784808,m*rh*,2622.0,100.107894897461,-0.449605,W,O,d,A,Z
15,Berkeley_35,107.47916666666666,2.7333333333333334,0.62,,,,8850.0,-0.1115578135766673,0.049624542894384414,m*rh*,2761.0,107.999984741211,2.3081,W,O,d,A,Z
16,Berkeley_78,110.90833333333333,5.366666666666666,3.76205068231153,,,,8370.188182339258,0.07527748745273033,0.8926596238670167,m*rh*,2870.0,109.56011962890601,4.80938,W,O,d,A,Z
17,Berkeley_83,300.32499999999993,28.616666666666667,3.891289053546929,,,,8537.505391215018,0.054672680766522125,0.17297580797186524,m*rh*,3958.0,299.78277587890597,29.4076,W,O,d,A,Z
18,Berkeley_88,305.40000000000003,48.083333333333336,0.6130715246170417,,,,8780.0,0.06,0.43453898816554276,m*rh*,4567.0,304.36444091796903,46.8794,W,O,d,A,Z
